crop,global_yield,yield_growth,running_total_yield_growth,pct_share_of_crops,decade
barley_yield,1135.8,,,0.01,1969 - 1978
barley_yield,1373.11,0.21,0.21,0.02,1979 - 1988
barley_yield,1829.07,0.33,0.54,0.02,1989 - 1998
barley_yield,2168.74,0.19,0.73,0.02,1999 - 2008
barley_yield,2418.67,0.12,0.85,0.02,2009 - 2018
cassava_yield,4698.11,,,0.06,1969 - 1978
cassava_yield,4988.96,0.06,0.06,0.06,1979 - 1988
cassava_yield,5372.35,0.08,0.14,0.05,1989 - 1998
cassava_yield,6257.07,0.16,0.3,0.05,1999 - 2008
cassava_yield,6741.28,0.08,0.38,0.05,2009 - 2018
cotton_yield,731.15,,,0.01,1969 - 1978
cotton_yield,844.79,0.16,0.16,0.01,1979 - 1988
cotton_yield,1001.16,0.19,0.35,0.01,1989 - 1998
cotton_yield,1104.2,0.1,0.45,0.01,1999 - 2008
cotton_yield,1160.55,0.05,0.5,0.01,2009 - 2018
groundnut_yield,836.23,,,0.01,1969 - 1978
groundnut_yield,896.28,0.07,0.07,0.01,1979 - 1988
groundnut_yield,1031.48,0.15,0.22,0.01,1989 - 1998
groundnut_yield,1185.53,0.15,0.37,0.01,1999 - 2008
groundnut_yield,1334.04,0.13,0.5,0.01,2009 - 2018
maize_yield,1908.2,,,0.02,1969 - 1978
maize_yield,2344.4,0.23,0.23,0.03,1979 - 1988
maize_yield,3277.36,0.4,0.63,0.03,1989 - 1998
maize_yield,4272.31,0.3,0.93,0.04,1999 - 2008
maize_yield,4970.55,0.16,1.09,0.04,2009 - 2018
millet_yield,456.66,,,0.01,1969 - 1978
millet_yield,465.99,0.02,0.02,0.01,1979 - 1988
millet_yield,542.34,0.16,0.18,0.01,1989 - 1998
millet_yield,690.84,0.27,0.45,0.01,1999 - 2008
millet_yield,787.65,0.14,0.59,0.01,2009 - 2018
oilpalm_yield,2924.93,,,0.04,1969 - 1978
oilpalm_yield,3606.49,0.23,0.23,0.04,1979 - 1988
oilpalm_yield,4065.57,0.13,0.36,0.04,1989 - 1998
oilpalm_yield,4373.28,0.08,0.44,0.04,1999 - 2008
oilpalm_yield,4254.45,-0.03,0.41,0.03,2009 - 2018
potato_yield,11149.11,,,0.14,1969 - 1978
potato_yield,13632.32,0.22,0.22,0.15,1979 - 1988
potato_yield,17563.62,0.29,0.51,0.16,1989 - 1998
potato_yield,21233.46,0.21,0.72,0.18,1999 - 2008
potato_yield,24046.18,0.13,0.85,0.19,2009 - 2018
rapeseed_yield,441.18,,,0.01,1969 - 1978
rapeseed_yield,553.06,0.25,0.25,0.01,1979 - 1988
rapeseed_yield,776.0,0.4,0.65,0.01,1989 - 1998
rapeseed_yield,1041.05,0.34,0.99,0.01,1999 - 2008
rapeseed_yield,1208.5,0.16,1.15,0.01,2009 - 2018
rice_yield,2120.57,,,0.03,1969 - 1978
rice_yield,2439.68,0.15,0.15,0.03,1979 - 1988
rice_yield,2832.72,0.16,0.31,0.03,1989 - 1998
rice_yield,3261.36,0.15,0.46,0.03,1999 - 2008
rice_yield,3783.39,0.16,0.62,0.03,2009 - 2018
rye_yield,594.94,,,0.01,1969 - 1978
rye_yield,690.53,0.16,0.16,0.01,1979 - 1988
rye_yield,1024.76,0.48,0.64,0.01,1989 - 1998
rye_yield,1289.61,0.26,0.9,0.01,1999 - 2008
rye_yield,1451.67,0.13,1.03,0.01,2009 - 2018
sorghum_yield,851.03,,,0.01,1969 - 1978
sorghum_yield,1016.73,0.19,0.19,0.01,1979 - 1988
sorghum_yield,1250.07,0.23,0.42,0.01,1989 - 1998
sorghum_yield,1444.99,0.16,0.58,0.01,1999 - 2008
sorghum_yield,1611.84,0.12,0.7,0.01,2009 - 2018
soybean_yield,531.06,,,0.01,1969 - 1978
soybean_yield,734.35,0.38,0.38,0.01,1979 - 1988
soybean_yield,1119.12,0.52,0.9,0.01,1989 - 1998
soybean_yield,1287.11,0.15,1.05,0.01,1999 - 2008
soybean_yield,1403.28,0.09,1.14,0.01,2009 - 2018
sugarbeet_yield,12211.74,,,0.15,1969 - 1978
sugarbeet_yield,13309.94,0.09,0.09,0.15,1979 - 1988
sugarbeet_yield,18049.77,0.36,0.45,0.17,1989 - 1998
sugarbeet_yield,21443.76,0.19,0.64,0.18,1999 - 2008
sugarbeet_yield,23032.84,0.07,0.71,0.18,2009 - 2018
sugarcane_yield,38011.65,,,0.47,1969 - 1978
sugarcane_yield,41050.52,0.08,0.08,0.45,1979 - 1988
sugarcane_yield,43895.11,0.07,0.15,0.41,1989 - 1998
sugarcane_yield,45210.21,0.03,0.18,0.38,1999 - 2008
sugarcane_yield,45074.47,-0.0,0.18,0.35,2009 - 2018
sunflower_yield,389.7,,,0.0,1969 - 1978
sunflower_yield,489.57,0.26,0.26,0.01,1979 - 1988
sunflower_yield,689.09,0.41,0.67,0.01,1989 - 1998
sunflower_yield,829.22,0.2,0.87,0.01,1999 - 2008
sunflower_yield,915.01,0.1,0.97,0.01,2009 - 2018
wheat_yield,1471.35,,,0.02,1969 - 1978
wheat_yield,1881.85,0.28,0.28,0.02,1979 - 1988
wheat_yield,2549.04,0.35,0.63,0.02,1989 - 1998
wheat_yield,2978.57,0.17,0.8,0.02,1999 - 2008
wheat_yield,3271.08,0.1,0.9,0.03,2009 - 2018